"admit","paes","nem","rank"
"1",910,5.8,"Grupo B"
"0",424,5.2,"Grupo D"
"0",274,5.1,"Grupo B"
"0",338,5.8,"Grupo C"
"0",376,5.2,"Grupo D"
"0",375,5.7,"Grupo C"
"1",622,6.6,"Grupo B"
"0",417,5.7,"Grupo C"
"0",359,6.2,"Grupo B"
"0",405,5.7,"Grupo A"
"0",467,5.7,"Grupo D"
"0",382,5.1,"Grupo D"
"0",384,5.1,"Grupo D"
"1",835,6.7,"Grupo C"
"0",514,6.2,"Grupo C"
"0",611,6,"Grupo D"
"0",535,5.8,"Grupo D"
"0",527,5.6,"Grupo D"
"0",409,5.8,"Grupo B"
"0",527,6,"Grupo B"
"0",224,4.9,"Grupo D"
"1",745,6.4,"Grupo B"
"0",286,5.4,"Grupo D"
"1",486,6,"Grupo D"
"0",345,5.6,"Grupo B"
"0",273,5.3,"Grupo C"
"0",588,6.2,"Grupo B"
"1",486,6.6,"Grupo B"
"0",334,5.6,"Grupo D"
"0",421,5.1,"Grupo D"
"1",642,5.7,"Grupo A"
"0",556,5.7,"Grupo D"
"0",452,5.7,"Grupo B"
"0",540,6.1,"Grupo C"
"0",355,5.8,"Grupo B"
"1",468,6,"Grupo A"
"0",279,5.7,"Grupo B"
"0",376,5.2,"Grupo C"
"1",781,6.4,"Grupo C"
"0",409,5.6,"Grupo A"
"0",296,5,"Grupo D"
"0",347,6,"Grupo D"
"1",962,6,"Grupo B"
"1",486,6.6,"Grupo C"
"0",606,6,"Grupo C"
"0",476,6,"Grupo D"
"1",432,6.5,"Grupo A"
"1",986,6.2,"Grupo B"
"0",463,5.5,"Grupo C"
"1",540,5.8,"Grupo C"
"0",281,5.1,"Grupo B"
"0",416,5.6,"Grupo C"
"0",471,5.8,"Grupo C"
"0",457,5.5,"Grupo B"
"0",420,5.8,"Grupo C"
"0",452,5.5,"Grupo D"
"1",468,6.5,"Grupo C"
"0",426,5.3,"Grupo B"
"0",412,5,"Grupo B"
"0",400,5.5,"Grupo D"
"1",790,6.6,"Grupo A"
"1",306,5.8,"Grupo C"
"1",910,5.6,"Grupo B"
"1",694,6.3,"Grupo B"
"0",604,5.4,"Grupo D"
"0",553,5.9,"Grupo B"
"0",502,5.2,"Grupo D"
"0",336,4.9,"Grupo C"
"0",257,5.7,"Grupo D"
"0",361,5.4,"Grupo B"
"0",380,4.9,"Grupo D"
"0",420,5.4,"Grupo D"
"0",243,5.1,"Grupo D"
"0",381,5.5,"Grupo C"
"0",348,4.7,"Grupo D"
"1",682,6.3,"Grupo C"
"0",392,6.3,"Grupo D"
"0",602,5.9,"Grupo B"
"0",514,5.5,"Grupo A"
"0",443,4.9,"Grupo B"
"0",486,5.5,"Grupo D"
"0",481,5.8,"Grupo C"
"0",608,6.1,"Grupo C"
"1",504,6.2,"Grupo C"
"1",622,6.2,"Grupo C"
"0",279,5.6,"Grupo D"
"0",514,6.2,"Grupo D"
"1",781,6.2,"Grupo B"
"1",580,6.8,"Grupo A"
"0",354,5.9,"Grupo C"
"0",290,4.6,"Grupo C"
"0",261,5.6,"Grupo D"
"0",398,6,"Grupo C"
"0",403,4.8,"Grupo D"
"1",835,5.8,"Grupo B"
"1",450,6.4,"Grupo A"
"0",269,5,"Grupo C"
"1",986,5.8,"Grupo C"
"1",682,6.2,"Grupo C"
"0",413,5.9,"Grupo C"
"1",432,5.7,"Grupo D"
"0",359,5.4,"Grupo B"
"0",526,5.9,"Grupo C"
"1",986,6.8,"Grupo D"
"0",305,5.5,"Grupo D"
"0",448,5.9,"Grupo B"
"0",363,6,"Grupo B"
"1",745,6.4,"Grupo C"
"1",910,6.2,"Grupo B"
"1",414,6.3,"Grupo A"
"0",262,5.7,"Grupo C"
"1",599,6,"Grupo A"
"1",622,6.8,"Grupo C"
"1",468,5.5,"Grupo A"
"0",460,5.9,"Grupo C"
"1",656,6.6,"Grupo B"
"0",483,5.7,"Grupo D"
"1",735,6.3,"Grupo A"
"1",504,6.4,"Grupo B"
"1",636,6.4,"Grupo A"
"0",499,5.8,"Grupo C"
"0",509,5.3,"Grupo D"
"0",445,5.6,"Grupo D"
"0",294,5.2,"Grupo D"
"0",476,6,"Grupo B"
"0",428,6.2,"Grupo A"
"0",473,5.7,"Grupo D"
"1",636,6.3,"Grupo A"
"0",448,6.1,"Grupo D"
"0",549,6,"Grupo A"
"1",723,5.2,"Grupo D"
"1",656,6.7,"Grupo B"
"1",414,6.4,"Grupo B"
"0",546,6.1,"Grupo C"
"1",504,5.8,"Grupo B"
"0",413,5.3,"Grupo A"
"0",550,5.5,"Grupo B"
"0",543,6.1,"Grupo B"
"0",548,6.3,"Grupo B"
"0",236,5.2,"Grupo B"
"0",296,5.1,"Grupo D"
"0",422,5.7,"Grupo C"
"0",342,6,"Grupo C"
"0",343,5,"Grupo D"
"0",475,5.5,"Grupo D"
"1",986,6.3,"Grupo B"
"0",311,5.3,"Grupo D"
"1",656,6.6,"Grupo A"
"0",513,5.4,"Grupo D"
"0",522,5.2,"Grupo D"
"0",391,5.2,"Grupo D"
"1",986,6.8,"Grupo C"
"0",292,5.8,"Grupo A"
"0",454,6.2,"Grupo D"
"0",340,6,"Grupo D"
"1",306,5.8,"Grupo C"
"1",504,5.8,"Grupo B"
"0",525,5.5,"Grupo D"
"1",745,6.4,"Grupo C"
"1",642,6.8,"Grupo A"
"0",440,5.5,"Grupo C"
"1",910,5.8,"Grupo B"
"1",656,6.7,"Grupo A"
"1",486,6.3,"Grupo C"
"0",511,6.2,"Grupo D"
"0",364,5.4,"Grupo C"
"1",468,6.7,"Grupo A"
"0",458,6,"Grupo C"
"0",461,5.3,"Grupo D"
"0",364,5.8,"Grupo B"
"0",349,5.4,"Grupo D"
"1",468,6.6,"Grupo C"
"0",410,5.3,"Grupo C"
"0",457,5.8,"Grupo C"
"0",311,5.5,"Grupo D"
"1",522,6.1,"Grupo B"
"0",444,5.5,"Grupo C"
"1",468,6.8,"Grupo B"
"0",441,5.8,"Grupo D"
"1",504,6.3,"Grupo C"
"1",835,5.8,"Grupo C"
"0",538,6.4,"Grupo C"
"1",622,6.3,"Grupo A"
"1",745,6.4,"Grupo B"
"0",414,5.6,"Grupo D"
"1",414,6.4,"Grupo B"
"1",723,6.8,"Grupo A"
"1",735,6.8,"Grupo A"
"1",694,6.3,"Grupo A"
"0",265,5.5,"Grupo D"
"0",395,5.5,"Grupo D"
"1",396,6.2,"Grupo A"
"1",360,5.9,"Grupo C"
"0",474,6.2,"Grupo D"
"1",986,6.5,"Grupo C"
"0",431,5.7,"Grupo D"
"0",438,5.7,"Grupo D"
"1",360,6,"Grupo A"
"0",348,5.4,"Grupo D"
"0",437,5.9,"Grupo D"
"0",276,5.6,"Grupo C"
"0",525,5.7,"Grupo B"
"0",475,6.1,"Grupo B"
"0",430,6.2,"Grupo D"
"0",479,5.8,"Grupo D"
"0",514,5.4,"Grupo C"
"0",445,6.1,"Grupo B"
"0",358,5.2,"Grupo C"
"1",682,5.9,"Grupo B"
"0",409,5.6,"Grupo D"
"0",318,4.8,"Grupo D"
"0",476,5,"Grupo D"
"0",379,5,"Grupo D"
"1",642,5.7,"Grupo C"
"0",439,5,"Grupo C"
"0",384,5.3,"Grupo D"
"0",465,6,"Grupo C"
"0",413,5.9,"Grupo B"
"0",481,5.8,"Grupo D"
"0",473,5.3,"Grupo B"
"0",342,5.4,"Grupo C"
"1",522,6.4,"Grupo B"
"1",468,6.4,"Grupo A"
"1",622,6.2,"Grupo C"
"0",431,5.7,"Grupo C"
"1",642,6.7,"Grupo B"
"1",599,6,"Grupo A"
"0",353,5.1,"Grupo B"
"1",414,6.3,"Grupo B"
"1",486,6.6,"Grupo C"
"0",395,5.6,"Grupo D"
"0",419,5.9,"Grupo D"
"0",330,5.7,"Grupo D"
"0",410,6,"Grupo D"
"1",986,5.8,"Grupo B"
"1",580,6.8,"Grupo A"
"1",682,6.3,"Grupo C"
"0",384,5.8,"Grupo C"
"0",479,5.8,"Grupo C"
"0",605,6.1,"Grupo C"
"0",541,6.3,"Grupo D"
"1",468,6.5,"Grupo A"
"0",394,5.3,"Grupo C"
"0",447,6,"Grupo D"
"1",636,6.4,"Grupo A"
"0",358,5.7,"Grupo D"
"0",393,6,"Grupo B"
"1",432,6.5,"Grupo A"
"0",503,5.8,"Grupo C"
"0",394,5.7,"Grupo D"
"0",269,5.4,"Grupo B"
"1",723,6.5,"Grupo B"
"1",636,6.5,"Grupo A"
"1",735,6.3,"Grupo A"
"0",313,5.2,"Grupo D"
"0",604,5.8,"Grupo C"
"1",986,6.2,"Grupo C"
"1",540,6.3,"Grupo C"
"1",986,6,"Grupo C"
"0",443,5.5,"Grupo D"
"0",332,5.4,"Grupo D"
"1",622,6.6,"Grupo A"
"0",525,6.3,"Grupo D"
"0",197,5.1,"Grupo B"
"0",397,5.6,"Grupo D"
"0",350,5.8,"Grupo D"
"0",275,4.9,"Grupo B"
"0",437,5.7,"Grupo D"
"0",530,5.8,"Grupo C"
"0",402,5.7,"Grupo A"
"0",602,5.1,"Grupo D"
"0",423,5.6,"Grupo D"
"0",286,4.7,"Grupo C"
"0",463,6.3,"Grupo D"
"0",364,5.9,"Grupo D"
"1",682,6.7,"Grupo B"
"0",520,5.8,"Grupo D"
"1",745,6.8,"Grupo C"
"0",453,5.6,"Grupo D"
"0",294,4.9,"Grupo C"
"0",385,5.4,"Grupo B"
"0",321,5.1,"Grupo D"
"0",524,5.7,"Grupo C"
"0",457,5.6,"Grupo C"
"0",442,5.4,"Grupo D"
"0",481,5.6,"Grupo C"
"0",608,6.1,"Grupo C"
"1",986,6.8,"Grupo C"
"0",357,5.7,"Grupo C"
"1",910,6.2,"Grupo B"
"1",522,5.7,"Grupo A"
"0",457,6.2,"Grupo B"
"0",357,5.3,"Grupo A"
"0",358,5.2,"Grupo D"
"0",498,6.4,"Grupo D"
"0",341,6,"Grupo D"
"0",522,5.6,"Grupo D"
"1",835,6.7,"Grupo C"
"0",264,5.8,"Grupo C"
"0",340,5.4,"Grupo D"
"0",543,6.2,"Grupo B"
"0",281,5.6,"Grupo D"
"1",522,6.1,"Grupo C"
"1",432,6.4,"Grupo D"
"1",622,6,"Grupo C"
"0",505,5.6,"Grupo D"
"1",468,6.7,"Grupo A"
"0",339,5,"Grupo D"
"0",544,6.1,"Grupo D"
"0",446,5.9,"Grupo B"
"0",418,6,"Grupo D"
"1",745,6.8,"Grupo C"
"0",603,6.1,"Grupo D"
"0",360,6,"Grupo D"
"0",397,5.3,"Grupo D"
"1",986,6.8,"Grupo C"
"0",527,6.3,"Grupo C"
"1",486,6.3,"Grupo B"
"1",636,6.5,"Grupo A"
"0",440,5.9,"Grupo D"
"0",318,5.5,"Grupo D"
"0",365,5.4,"Grupo D"
"0",246,5.7,"Grupo C"
"0",194,5.3,"Grupo A"
"0",399,5.3,"Grupo B"
"0",361,5.2,"Grupo D"
"0",404,6.1,"Grupo D"
"1",781,6.2,"Grupo A"
"0",237,5.2,"Grupo B"
"0",608,5.9,"Grupo C"
"0",411,5.6,"Grupo B"
"0",425,5.6,"Grupo B"
"1",781,6.4,"Grupo C"
"1",682,6.8,"Grupo B"
"0",426,5.4,"Grupo A"
"0",558,6.2,"Grupo A"
"0",261,5.1,"Grupo B"
"0",380,5.5,"Grupo D"
"0",491,5.6,"Grupo B"
"1",504,6.2,"Grupo C"
"0",362,5.4,"Grupo D"
"0",463,5.5,"Grupo B"
"1",432,5.8,"Grupo B"
"0",473,6,"Grupo C"
"0",468,6.2,"Grupo C"
"0",396,5.5,"Grupo D"
"0",267,5.7,"Grupo B"
"0",491,6,"Grupo C"
"1",682,6.2,"Grupo B"
"0",408,5.3,"Grupo C"
"1",622,6.8,"Grupo C"
"1",642,5.7,"Grupo B"
"0",286,4.9,"Grupo C"
"1",682,5.9,"Grupo B"
"0",410,5.2,"Grupo D"
"0",359,6.2,"Grupo B"
"0",339,5.4,"Grupo A"
"0",508,5.7,"Grupo D"
"0",317,4.7,"Grupo C"
"0",538,6.5,"Grupo C"
"0",374,5.5,"Grupo D"
"0",357,6,"Grupo B"
"0",329,5.3,"Grupo D"
"0",389,5.9,"Grupo A"
"0",613,6.1,"Grupo D"
"0",432,5.3,"Grupo D"
"0",494,6.2,"Grupo D"
"0",472,6,"Grupo D"
"0",382,5.7,"Grupo B"
"0",297,5.2,"Grupo D"
"0",454,5.5,"Grupo D"
"0",314,5.2,"Grupo B"
"0",396,6,"Grupo C"
"1",486,6.6,"Grupo B"
"0",394,5.6,"Grupo D"
"1",636,6.4,"Grupo A"
"1",986,6,"Grupo B"
"0",427,6.2,"Grupo D"
"1",414,6.4,"Grupo A"
"0",518,5.2,"Grupo C"
"0",502,5.4,"Grupo A"
"1",486,6.3,"Grupo A"
"0",500,5.5,"Grupo C"
"1",540,6.4,"Grupo B"
"0",395,5.4,"Grupo B"
"0",453,6.1,"Grupo C"
"1",682,6.8,"Grupo B"
"0",555,5.6,"Grupo B"
"0",348,5.7,"Grupo D"
"0",461,5.5,"Grupo B"
"0",470,5.6,"Grupo B"
"0",278,5.8,"Grupo D"
"0",363,4.9,"Grupo D"
"0",374,5.1,"Grupo B"
"0",444,5.3,"Grupo D"
"0",338,5.7,"Grupo D"
"0",385,5.3,"Grupo D"
"1",682,6.4,"Grupo B"
"0",418,6.1,"Grupo D"
"0",570,5.4,"Grupo D"
"0",327,5,"Grupo D"
"0",278,5.2,"Grupo D"
"1",910,6.2,"Grupo A"
"0",524,6.3,"Grupo D"
"1",414,6.3,"Grupo A"
"0",301,5.2,"Grupo D"
"0",604,5.2,"Grupo D"
"1",622,6.2,"Grupo A"
"0",525,5.3,"Grupo D"
"0",360,5.5,"Grupo A"
"0",597,5.2,"Grupo B"
"0",536,5.7,"Grupo D"
"0",424,5.3,"Grupo D"
"0",229,5.5,"Grupo C"
"0",311,5.5,"Grupo C"
"0",546,5.6,"Grupo D"
"1",622,6.4,"Grupo D"
"0",401,5.8,"Grupo D"
"1",910,5.6,"Grupo D"
"0",393,5.2,"Grupo C"
"1",642,6.7,"Grupo C"
"0",475,6.4,"Grupo D"
"0",337,5.8,"Grupo C"
"0",294,5.7,"Grupo B"
"0",527,6,"Grupo C"
"0",452,6.1,"Grupo C"
"0",428,6,"Grupo C"
"0",505,6.4,"Grupo D"
"0",340,5.1,"Grupo D"
"0",467,5.7,"Grupo D"
"1",432,5.5,"Grupo B"
"0",494,6,"Grupo D"
"1",270,5.6,"Grupo C"
"0",470,5.5,"Grupo C"
"1",396,6.3,"Grupo A"
"0",394,5.3,"Grupo C"
"1",622,6,"Grupo B"
"0",371,4.7,"Grupo C"
"0",538,6.1,"Grupo D"
"0",326,5.8,"Grupo D"
"1",540,5.9,"Grupo C"
"1",504,5.4,"Grupo B"
"0",342,6.1,"Grupo D"
"0",328,5.5,"Grupo B"
"1",522,6,"Grupo A"
"0",447,6,"Grupo D"
"1",818,6.8,"Grupo A"
"0",407,5.7,"Grupo D"
"1",910,6.8,"Grupo C"
"0",515,5.9,"Grupo D"
"0",491,5.8,"Grupo C"
"0",315,5.1,"Grupo A"
"0",395,4.6,"Grupo D"
"0",409,6,"Grupo B"
"1",486,6.3,"Grupo C"
"0",390,6.1,"Grupo C"
"0",609,6,"Grupo C"
"0",445,5.4,"Grupo C"
"0",227,5.2,"Grupo C"
"0",358,5.1,"Grupo C"
"0",414,5.9,"Grupo B"
"0",358,5.6,"Grupo B"
"0",487,5.4,"Grupo C"
"0",437,5.6,"Grupo D"
"0",470,5.5,"Grupo C"
"0",438,5.5,"Grupo C"
"0",282,5.7,"Grupo C"
"1",540,6.7,"Grupo C"
"0",330,5.4,"Grupo B"
"1",540,6.4,"Grupo A"
"0",470,6.2,"Grupo D"
"0",245,5.8,"Grupo D"
"0",364,5.3,"Grupo C"
"0",429,6,"Grupo C"
"0",341,5.8,"Grupo D"
"1",835,6.7,"Grupo C"
"1",910,5.6,"Grupo C"
"1",540,6.2,"Grupo A"
"0",437,5.7,"Grupo D"
"0",450,5.3,"Grupo A"
"0",519,5.3,"Grupo D"
"1",986,5.8,"Grupo A"
"0",613,6,"Grupo D"
"0",602,6.2,"Grupo D"
"0",395,5.3,"Grupo D"
"1",682,6.4,"Grupo B"
"0",390,4.9,"Grupo D"
"0",503,6.2,"Grupo C"
"0",308,5.3,"Grupo D"
"0",380,5.4,"Grupo D"
"0",427,5.7,"Grupo D"
"0",312,5.5,"Grupo D"
"0",522,6.1,"Grupo C"
"0",467,6.2,"Grupo D"
"0",507,5.5,"Grupo C"
"1",962,6.8,"Grupo A"
"1",962,6,"Grupo C"
"1",522,6.3,"Grupo C"
"0",461,6,"Grupo C"
"0",380,5.3,"Grupo D"
"0",516,5.9,"Grupo D"
"0",507,5.7,"Grupo C"
"1",622,6.8,"Grupo C"
"0",410,5.1,"Grupo C"
"0",331,5.4,"Grupo B"
"0",426,6.2,"Grupo B"
"0",489,5.9,"Grupo D"
"1",486,6.6,"Grupo B"
"0",529,6.1,"Grupo C"
"0",286,5.2,"Grupo C"
"1",414,6.8,"Grupo A"
"1",504,5.8,"Grupo D"
"1",986,6.2,"Grupo B"
"0",362,5.5,"Grupo D"
"0",360,6.1,"Grupo D"
"0",474,5.8,"Grupo D"
"0",395,5.4,"Grupo C"
"0",553,5.7,"Grupo C"
"0",224,5.3,"Grupo D"
"0",408,6,"Grupo C"
"0",353,5.7,"Grupo D"
"1",360,5.9,"Grupo B"
"1",735,6.3,"Grupo A"
"0",447,5.9,"Grupo D"
"0",395,5.4,"Grupo D"
"1",745,6.8,"Grupo D"
"0",411,4.6,"Grupo C"
"1",468,6.8,"Grupo A"
"1",986,6.8,"Grupo B"
"0",292,5.1,"Grupo D"
"1",580,6.8,"Grupo A"
"0",198,5,"Grupo C"
"0",269,5.2,"Grupo D"
"0",458,5.4,"Grupo B"
"1",504,6.3,"Grupo A"
"1",486,6.3,"Grupo C"
"0",535,6.2,"Grupo B"
"0",488,6,"Grupo D"
"0",298,6.1,"Grupo B"
"1",396,6.3,"Grupo A"
"0",313,5.5,"Grupo C"
"0",455,5.4,"Grupo D"
"0",470,6.3,"Grupo D"
"0",426,5.6,"Grupo D"
"0",459,5.6,"Grupo B"
"0",486,5.8,"Grupo D"
"0",514,5.3,"Grupo A"
"0",609,6.4,"Grupo D"
"0",244,5,"Grupo D"
"0",510,5.6,"Grupo B"
"0",425,5.7,"Grupo D"
"0",482,5.7,"Grupo B"
"1",540,6.4,"Grupo C"
"0",364,5.6,"Grupo D"
"1",723,6.8,"Grupo B"
"1",622,6.5,"Grupo C"
"1",486,6.2,"Grupo B"
"1",682,5.9,"Grupo A"
"0",526,5.3,"Grupo D"
"1",540,6.3,"Grupo C"
"0",371,5.4,"Grupo D"
"0",438,5.5,"Grupo D"
"0",381,4.9,"Grupo D"
"0",541,5.6,"Grupo B"
"0",417,4.9,"Grupo D"
"0",455,5.6,"Grupo D"
"0",316,5.8,"Grupo D"
"1",642,6.7,"Grupo B"
"1",522,6.4,"Grupo C"
"0",474,5.7,"Grupo D"
"1",781,6.4,"Grupo D"
"0",268,5.2,"Grupo C"
"1",522,6,"Grupo A"
"0",423,5.5,"Grupo C"
"0",481,5.1,"Grupo D"
"0",372,5.4,"Grupo C"
"0",529,6.3,"Grupo D"
"1",622,6,"Grupo C"
"0",258,5.8,"Grupo B"
"1",486,6.6,"Grupo C"
"1",622,6.6,"Grupo B"
"0",126,5.2,"Grupo C"
"1",656,6.7,"Grupo A"
"0",297,5.2,"Grupo D"
"0",428,5.8,"Grupo C"
"0",605,6.4,"Grupo B"
"0",484,5.5,"Grupo D"
"1",642,6.4,"Grupo C"
"1",522,5.9,"Grupo B"
"0",365,5.4,"Grupo C"
"0",381,5.1,"Grupo A"
"1",622,6.2,"Grupo A"
"1",636,6.5,"Grupo A"
"0",268,5.5,"Grupo A"
"1",723,6.5,"Grupo A"
"0",347,5.7,"Grupo C"
"0",438,5.9,"Grupo C"
"1",580,6,"Grupo A"
"0",423,5.4,"Grupo D"
"1",432,5.7,"Grupo D"
"1",468,6.4,"Grupo A"
"1",986,6.3,"Grupo C"
"0",429,5.6,"Grupo D"
"1",642,6.8,"Grupo C"
"0",392,5.6,"Grupo A"
"0",396,5.5,"Grupo B"
